TEAM_ID,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,SEASON
1610612743,West,Denver,82.0,17.0,65.0,0.207,13-28,4-37,2003
1610612746,West,L.A. Clippers,82.0,27.0,55.0,0.3289999999999999,16-25,11-30,2003
1610612763,West,Memphis,82.0,28.0,54.0,0.341,20-21,8-33,2003
1610612744,West,Golden State,82.0,38.0,44.0,0.4629999999999999,24-17,14-27,2003
1610612760,West,Seattle,82.0,40.0,42.0,0.488,25-16,15-26,2003
1610612756,West,Phoenix,82.0,44.0,38.0,0.537,30-11,14-27,2003
1610612762,West,Utah,82.0,47.0,35.0,0.573,29-12,18-23,2003
1610612757,West,Portland,82.0,50.0,32.0,0.61,27-14,23-18,2003
1610612747,West,L.A. Lakers,82.0,50.0,32.0,0.61,31-10,19-22,2003
1610612750,West,Minnesota,82.0,51.0,31.0,0.622,33-8,18-23,2003
1610612758,West,Sacramento,82.0,59.0,23.0,0.72,35-6,24-17,2003
1610612759,West,San Antonio,82.0,60.0,22.0,0.732,33-8,27-14,2003
1610612742,West,Dallas,82.0,60.0,22.0,0.732,33-8,27-14,2003
1610612745,West,Houston,82.0,43.0,39.0,0.524,28-13,15-26,2003
1610612746,West,L.A. Clippers,82.0,28.0,54.0,0.341,18-23,10-31,2004
1610612760,West,Seattle,82.0,37.0,45.0,0.451,21-20,16-25,2004
1610612744,West,Golden State,82.0,37.0,45.0,0.451,27-14,10-31,2004
1610612757,West,Portland,82.0,41.0,41.0,0.5,25-16,16-25,2004
1610612762,West,Utah,82.0,42.0,40.0,0.512,28-13,14-27,2004
1610612743,West,Denver,82.0,43.0,39.0,0.524,29-12,14-27,2004
1610612745,West,Houston,82.0,45.0,37.0,0.5489999999999999,27-14,18-23,2004
1610612763,West,Memphis,82.0,50.0,32.0,0.61,31-10,19-22,2004
1610612742,West,Dallas,82.0,52.0,30.0,0.634,36-5,16-25,2004
1610612758,West,Sacramento,82.0,55.0,27.0,0.6709999999999999,34-7,21-20,2004
1610612747,West,L.A. Lakers,82.0,56.0,26.0,0.6829999999999999,34-7,22-19,2004
1610612759,West,San Antonio,82.0,57.0,25.0,0.695,33-8,24-17,2004
1610612750,West,Minnesota,82.0,58.0,24.0,0.7070000000000001,31-10,27-14,2004
1610612756,West,Phoenix,82.0,29.0,53.0,0.354,18-23,11-30,2004
1610612762,West,Utah,82.0,26.0,56.0,0.317,18-23,8-33,2005
1610612742,West,Dallas,82.0,58.0,24.0,0.7070000000000001,29-12,29-12,2005
1610612760,West,Seattle,82.0,52.0,30.0,0.634,26-15,26-15,2005
1610612745,West,Houston,82.0,51.0,31.0,0.622,26-15,25-16,2005
1610612758,West,Sacramento,82.0,50.0,32.0,0.61,30-11,20-21,2005
1610612743,West,Denver,82.0,49.0,33.0,0.598,31-10,18-23,2005
1610612756,West,Phoenix,82.0,62.0,20.0,0.7559999999999999,31-10,31-10,2005
1610612763,West,Memphis,82.0,45.0,37.0,0.5489999999999999,26-15,19-22,2005
1610612750,West,Minnesota,82.0,44.0,38.0,0.537,24-17,20-21,2005
